tool,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,0.5981,0.0034,0.5981,0.5981,0.59,0.5952,0.0119,0.5981,0.0
gh-sbom,1.0,0.0,1.0,0.0,1.0,0.0,0.1443,1.0,0.0
ort,0.0842,0.0,0.0,0.0,0.0842,0.0,0.07,0.0842,0.0663
scancode,0.4628,0.0989,0.4628,0.4628,0.4628,0.0,0.4628,0.1433,0.0102
cdxgen,0.6594,0.0144,0.6595,0.6595,0.6595,0.0,0.0264,0.6595,0.0
