tool,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,0.5056,0.0109,0.5056,0.5056,0.5041,0.5035,0.0149,0.5056,0.0
gh-sbom,1.0,0.0,1.0,0.0,1.0,0.0,0.2784,1.0,0.0
ort,0.2485,0.0,0.0,0.0,0.2485,0.0,0.2456,0.2485,0.2316
scancode,0.5086,0.3924,0.5086,0.5086,0.5086,0.0,0.5086,0.314,0.0038
cdxgen,0.746,0.2318,0.746,0.746,0.746,0.0,0.2754,0.746,0.0
