tool,bomFormat,specVersion,version,serialNumber,timestamp,tools,name_com,version_com,bom_ref_com,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5056,0.0173,0.5056,0.5056,0.5056,0.5047,0.0388,0.5056,0.0
gh-sbom,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4941,1.0,0.0
ort,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2485,0.0,0.0,0.0,0.2485,0.0,0.2473,0.2485,0.2437
scancode,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5086,0.3924,0.5086,0.5086,0.5086,0.0,0.5086,0.314,0.0038
cdxgen,1.0,1.0,1.0,1.0,1.0,1.0,0.7319,0.731,0.7319,0.746,0.4189,0.746,0.746,0.746,0.0,0.4295,0.746,0.0
