tools,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,PVC_score_r,cpe_score_r,purl_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,copyright_score,version_score,PVC_score,cpe_score,purl_score,dL_score,licenseC_score,licenseD_score,checksum_score
syft+gh-sbom,0.2294,0.0044,0.0,0.0,0.0,0.0038,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.4406,0.0,0.0,0.3315,0.0,0.0,0.0,0.0
syft+ort,0.0104,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608,0.0,0.0,0.0577,0.0,0.0,0.0,0.0
syft+sbom-tool,0.0827,0.0067,0.0,0.0013,0.0,0.0105,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0007,0.0,0.2148,0.0,0.0,0.2049,0.0,0.0,0.0,0.2082
gh-sbom+ort,0.0403,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401,0.0,0.0,0.0395,0.0,0.0,0.0,0.0
gh-sbom+sbom-tool,0.1556,0.0099,0.0,0.0,0.0,0.0045,0.0,0.0,0.0032,0.0,0.0014,0.0,0.0,0.0,0.0,0.1635,0.0,0.0,0.1533,0.0,0.1402,0.0,0.0
ort+sbom-tool,0.4713,0.2382,0.0,0.0,0.0,0.0017,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.1376,0.0,0.0,0.1225,0.0,0.0,0.0,0.0012
