tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.3461,0.0,0.7368,0.6216,0.0,0.0029,0.5634
syft+ort,0.0,0.0,0.0521,0.0,0.0,0.1269,0.0,0.0015,0.1289
syft+scancode,0.0,0.0,0.0134,0.0025,0.1775,0.1435,0.0,0.0061,0.1608
syft+cdxgen,0.3017,0.0,0.5836,0.0,0.7588,0.2073,0.0,0.0029,0.8228
gh-sbom+ort,0.0,0.0,0.2033,0.0,0.0,0.4692,0.0,0.2647,0.4805
gh-sbom+scancode,0.0,0.0,0.0283,0.0,0.3518,0.2426,0.0,0.0066,0.2669
gh-sbom+cdxgen,0.0,0.0,0.3577,0.0,0.4961,0.2767,0.0,0.2397,0.7482
ort+scancode,0.0,0.0,0.0003,0.0,0.0,0.0028,0.0,0.0016,0.0065
ort+cdxgen,0.0,0.0,0.1123,0.0,0.0,0.033,0.0,0.061,0.143
scancode+cdxgen,0.0,0.0,0.0163,0.0,0.1263,0.0457,0.0,0.0396,0.1512
