tool,bomFormat,specVersion,version,serialNumber,timestamp,tools,name_com,version_com,bom_ref_com,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9324,0.0055,0.9324,0.9324,0.9324,0.9324,0.179,0.9324,0.0
gh-sbom,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.768,1.0,0.0
ort,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1631,0.0,0.0,0.0,0.1631,0.0,0.1631,0.1631,0.1609
scancode,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3306,0.0294,0.3306,0.3306,0.3306,0.0,0.3306,0.3154,0.0001
cdxgen,1.0,1.0,1.0,1.0,1.0,1.0,0.8552,0.8542,0.8552,0.9087,0.0055,0.9087,0.9087,0.9087,0.0,0.2297,0.9087,0.0
